Font: ext-fonts/UniversNextProBold.ttf  (unitsPerEm=1000; values normalized to 1000 UPM)
Refs: width vs 'o' (ink width=497.00 (overridden)); side bearings vs 'l' (LSB=71.00, RSB=71.00)

char  name                         adv      LSB      RSB     w/o   LSB/l   RSB/l
----  ----------------------  --------  -------  -------  ------  ------  ------

Lowercase
   a  LATIN SMALL LETTER A      577.00    33.00    57.00   0.980   0.465   0.803
   b  LATIN SMALL LETTER B      635.00    67.00    37.00   1.068   0.944   0.521
   c  LATIN SMALL LETTER C      565.00    37.00    23.00   1.016   0.521   0.324
   d  LATIN SMALL LETTER D      635.00    37.00    67.00   1.068   0.521   0.944
   e  LATIN SMALL LETTER E      580.00    37.00    37.00   1.018   0.521   0.521
   f  LATIN SMALL LETTER F      389.00    14.00     8.00   0.738   0.197   0.113
   g  LATIN SMALL LETTER G      635.00    37.00    66.00   1.070   0.521   0.930
   h  LATIN SMALL LETTER H      632.00    71.00    68.00   0.992   1.000   0.958
   i  LATIN SMALL LETTER I      288.00    68.00    68.00   0.306   0.958   0.958
   j  LATIN SMALL LETTER J      288.00   -16.00    68.00   0.475  -0.225   0.958
   k  LATIN SMALL LETTER K      620.00    71.00    10.00   1.085   1.000   0.141
   l  LATIN SMALL LETTER L      288.00    71.00    71.00   0.294   1.000   1.000
   m  LATIN SMALL LETTER M      971.00    67.00    68.00   1.682   0.944   0.958
   n  LATIN SMALL LETTER N      632.00    67.00    68.00   1.000   0.944   0.958
   o  LATIN SMALL LETTER O      622.00    37.00    37.00   1.103   0.521   0.521
   p  LATIN SMALL LETTER P      635.00    67.00    37.00   1.068   0.944   0.521
   q  LATIN SMALL LETTER Q      635.00    37.00    67.00   1.068   0.521   0.944
   r  LATIN SMALL LETTER R      402.00    67.00    10.00   0.654   0.944   0.141
   s  LATIN SMALL LETTER S      541.00    39.00    39.00   0.932   0.549   0.549
   t  LATIN SMALL LETTER T      387.00    10.00    19.00   0.720   0.141   0.268
   u  LATIN SMALL LETTER U      633.00    68.00    68.00   1.000   0.958   0.958
   v  LATIN SMALL LETTER V      569.00     2.00     2.00   1.137   0.028   0.028
   w  LATIN SMALL LETTER W      929.00     9.00     9.00   1.833   0.127   0.127
   x  LATIN SMALL LETTER X      560.00     1.00     1.00   1.123   0.014   0.014
   y  LATIN SMALL LETTER Y      575.00     1.00     1.00   1.153   0.014   0.014
   z  LATIN SMALL LETTER Z      494.00    31.00    29.00   0.873   0.437   0.408

Uppercase
   A  LATIN CAPITAL LETTER A    758.00    -5.00    -5.00   1.545  -0.070  -0.070
   B  LATIN CAPITAL LETTER B    701.00    83.00    45.00   1.153   1.169   0.634
   C  LATIN CAPITAL LETTER C    719.00    44.00    37.00   1.284   0.620   0.521
   D  LATIN CAPITAL LETTER D    780.00    83.00    44.00   1.314   1.169   0.620
   E  LATIN CAPITAL LETTER E    622.00    83.00    40.00   1.004   1.169   0.563
   F  LATIN CAPITAL LETTER F    588.00    83.00    28.00   0.960   1.169   0.394
   G  LATIN CAPITAL LETTER G    767.00    44.00    69.00   1.316   0.620   0.972
   H  LATIN CAPITAL LETTER H    793.00    83.00    83.00   1.262   1.169   1.169
