Font: ext-fonts/SF-Pro-Text-Bold.otf  (unitsPerEm=2048; values normalized to 1000 UPM)
Refs: width vs 'o' (ink width=485.00 (overridden)); side bearings vs 'l' (LSB=76.17, RSB=76.17)

char  name                         adv      LSB      RSB     w/o   LSB/l   RSB/l
----  ----------------------  --------  -------  -------  ------  ------  ------

Lowercase
   a  LATIN SMALL LETTER A      589.84    42.48    68.36   0.988   0.558   0.897
   b  LATIN SMALL LETTER B      651.37    76.17    44.43   1.094   1.000   0.583
   c  LATIN SMALL LETTER C      587.40    44.92    39.55   1.037   0.590   0.519
   d  LATIN SMALL LETTER D      651.37    44.92    76.17   1.093   0.590   1.000
   e  LATIN SMALL LETTER E      601.07    44.92    44.92   1.054   0.590   0.590
   f  LATIN SMALL LETTER F      408.20    25.88    37.60   0.711   0.340   0.494
   g  LATIN SMALL LETTER G      645.51    43.46    71.29   1.094   0.571   0.936
   h  LATIN SMALL LETTER H      632.32    76.17    66.41   1.010   1.000   0.872
   i  LATIN SMALL LETTER I      287.11    63.48    62.99   0.331   0.833   0.827
   j  LATIN SMALL LETTER J      287.11   -14.16    63.48   0.490  -0.186   0.833
   k  LATIN SMALL LETTER K      601.56    76.17    18.55   1.045   1.000   0.244
   l  LATIN SMALL LETTER L      294.92    76.17    76.17   0.294   1.000   1.000
   m  LATIN SMALL LETTER M      932.13    71.29    66.41   1.638   0.936   0.872
   n  LATIN SMALL LETTER N      627.44    71.29    66.41   1.010   0.936   0.872
   o  LATIN SMALL LETTER O      619.63    44.92    44.43   1.093   0.590   0.583
   p  LATIN SMALL LETTER P      646.97    71.29    44.92   1.094   0.936   0.590
   q  LATIN SMALL LETTER Q      647.46    45.90    70.80   1.094   0.603   0.929
   r  LATIN SMALL LETTER R      435.06    71.29    23.44   0.702   0.936   0.308
   s  LATIN SMALL LETTER S      566.41    45.41    45.41   0.981   0.596   0.596
   t  LATIN SMALL LETTER T      412.60    27.83    46.88   0.697   0.365   0.615
   u  LATIN SMALL LETTER U      627.44    66.41    71.29   1.010   0.872   0.936
   v  LATIN SMALL LETTER V      583.01    24.90    24.90   1.099   0.327   0.327
   w  LATIN SMALL LETTER W      847.17    29.79    29.79   1.624   0.391   0.391
   x  LATIN SMALL LETTER X      580.57    30.76    30.76   1.070   0.404   0.404
   y  LATIN SMALL LETTER Y      597.17    27.34    27.34   1.119   0.359   0.359
   z  LATIN SMALL LETTER Z      566.41    59.08    58.59   0.925   0.776   0.769

Uppercase
   A  LATIN CAPITAL LETTER A    732.42    35.16    34.18   1.367   0.462   0.449
   B  LATIN CAPITAL LETTER B    693.36    85.45    47.85   1.155   1.122   0.628
   C  LATIN CAPITAL LETTER C    741.21    54.20    50.29   1.313   0.712   0.660
   D  LATIN CAPITAL LETTER D    747.56    85.45    54.20   1.253   1.122   0.712
   E  LATIN CAPITAL LETTER E    622.07    85.45    69.82   0.962   1.122   0.917
   F  LATIN CAPITAL LETTER F    597.66    85.45    50.78   0.951   1.122   0.667
   G  LATIN CAPITAL LETTER G    760.25    54.20    55.66   1.341   0.712   0.731
   H  LATIN CAPITAL LETTER H    783.20    85.45    85.45   1.262   1.122   1.122
