Font: ext-fonts/SF-Pro-Text-Regular.otf  (unitsPerEm=2048; values normalized to 1000 UPM)
Refs: width vs 'o' (adv=590.82); side bearings vs 'l' (LSB=83.98, RSB=83.98)

char  name                         adv      LSB      RSB     w/o   LSB/l   RSB/l
----  ----------------------  --------  -------  -------  ------  ------  ------

Lowercase
   a  LATIN SMALL LETTER A      551.76    47.85    76.17   0.881   0.570   0.907
   b  LATIN SMALL LETTER B      614.26    83.98    52.73   0.984   1.000   0.628
   c  LATIN SMALL LETTER C      559.57    52.73    44.92   0.952   0.628   0.535
   d  LATIN SMALL LETTER D      614.26    52.73    83.98   0.984   0.628   1.000
   e  LATIN SMALL LETTER E      571.29    52.73    52.73   0.960   0.628   0.628
   f  LATIN SMALL LETTER F      361.82    26.86    38.09   0.612   0.320   0.453
   g  LATIN SMALL LETTER G      609.38    52.73    79.10   0.984   0.628   0.942
   h  LATIN SMALL LETTER H      588.38    83.98    74.22   0.886   1.000   0.884
   i  LATIN SMALL LETTER I      247.07    65.43    64.45   0.241   0.779   0.767
   j  LATIN SMALL LETTER J      246.58   -10.74    64.94   0.396  -0.128   0.773
   k  LATIN SMALL LETTER K      542.97    83.98    20.51   0.903   1.000   0.244
   l  LATIN SMALL LETTER L      252.93    83.98    83.98   0.175   1.000   1.000
   m  LATIN SMALL LETTER M      870.12    79.10    74.22   1.477   0.942   0.884
   n  LATIN SMALL LETTER N      583.50    79.10    74.22   0.886   0.942   0.884
   o  LATIN SMALL LETTER O      590.82    52.73    52.73   1.000   0.628   0.628
   p  LATIN SMALL LETTER P      610.35    79.10    53.71   0.984   0.942   0.640
   q  LATIN SMALL LETTER Q      609.38    52.73    78.12   0.986   0.628   0.930
   r  LATIN SMALL LETTER R      380.86    79.10    25.88   0.568   0.942   0.308
   s  LATIN SMALL LETTER S      523.44    52.25    52.73   0.862   0.622   0.628
   t  LATIN SMALL LETTER T      363.28    29.30    47.85   0.590   0.349   0.570
   u  LATIN SMALL LETTER U      583.50    74.22    79.10   0.886   0.884   0.942
   v  LATIN SMALL LETTER V      541.99    33.20    33.20   0.980   0.395   0.395
   w  LATIN SMALL LETTER W      774.41    33.20    33.20   1.459   0.395   0.395
   x  LATIN SMALL LETTER X      524.41    35.16    35.16   0.936   0.419   0.419
   y  LATIN SMALL LETTER Y      542.97    33.20    33.20   0.982   0.395   0.395
   z  LATIN SMALL LETTER Z      539.06    66.89    66.89   0.835   0.797   0.797

Uppercase
   A  LATIN CAPITAL LETTER A    673.83    33.69    33.69   1.249   0.401   0.401
   B  LATIN CAPITAL LETTER B    657.23    89.84    53.71   1.058   1.070   0.640
   C  LATIN CAPITAL LETTER C    715.82    62.50    57.62   1.227   0.744   0.686
   D  LATIN CAPITAL LETTER D    726.56    89.84    62.50   1.183   1.070   0.744
   E  LATIN CAPITAL LETTER E    595.70    89.84    69.34   0.899   1.070   0.826
   F  LATIN CAPITAL LETTER F    572.27    89.84    54.69   0.881   1.070   0.651
   G  LATIN CAPITAL LETTER G    746.58    62.50    65.43   1.275   0.744   0.779
   H  LATIN CAPITAL LETTER H    742.19    89.84    89.84   1.159   1.070   1.070
